event_id,event,time_to_hit_hours,time_bin_within_event,stratum,fold
18675176,0,24.172499523888888,0,0_q1,0
23708068,0,18.80461026,0,0_q1,0
25027537,0,11.25434434111111,0,0_q1,0
49304487,0,17.63673193972222,0,0_q1,0
64255332,0,33.3943056075,0,0_q1,0
70156135,0,18.91827401388889,0,0_q1,0
74572738,0,32.57303382388889,0,0_q1,0
99339733,0,0.6173444741666666,0,0_q1,0
15247236,0,39.9126300725,1,0_q2,0
34501712,0,39.96354985694445,1,0_q2,0
42563089,0,39.921133606666665,1,0_q2,0
47422636,0,58.53215085972223,1,0_q2,0
60883493,0,60.73052582333333,1,0_q2,0
84048308,0,58.41185306111112,1,0_q2,0
84486575,0,43.35753942361112,1,0_q2,0
97805715,0,44.01125309805556,1,0_q2,0
21481903,0,62.81666410138889,2,0_q3,0
34027802,0,62.86164432583333,2,0_q3,0
44291860,0,64.50388345694444,2,0_q3,0
51167521,0,64.06834064833333,2,0_q3,0
59822043,0,64.18241335722223,2,0_q3,0
80265452,0,62.88532225111111,2,0_q3,0
93260759,0,62.836529059722224,2,0_q3,0
15846088,0,66.64396895027778,3,0_q4,0
19306260,0,66.44223063222222,3,0_q4,0
24870571,0,65.689654365,3,0_q4,0
37136049,0,66.03053782222223,3,0_q4,0
46217176,0,66.48903372972222,3,0_q4,0
56860504,0,65.37490716194445,3,0_q4,0
90827686,0,65.67624520972223,3,0_q4,0
97075632,0,66.34062444416666,3,0_q4,0
34889301,1,0.0643609547222222,0,1_q1,0
49907151,1,0.5085623355555555,0,1_q1,0
84940844,1,0.2922721472222222,0,1_q1,0
18150961,1,3.534845605,1,1_q2,0
23886014,1,3.211343435,1,1_q2,0
60132804,1,1.262348174166667,1,1_q2,0
85752079,1,2.059227285833334,1,1_q2,0
22577693,1,5.458663006666667,2,1_q3,0
54606261,1,7.611519684166666,2,1_q3,0
66678641,1,7.488617355,2,1_q3,0
16870867,1,15.924687885833333,3,1_q4,0
66725353,1,55.17060978555556,3,1_q4,0
73362817,1,19.56184915055556,3,1_q4,0
86806129,1,21.52954398083333,3,1_q4,0
41218264,0,18.807773461666663,0,0_q1,1
49088441,0,19.162140627222225,0,0_q1,1
49343570,0,26.528310765,0,0_q1,1
50534601,0,14.981560554722222,0,0_q1,1
52398567,0,32.80871129916667,0,0_q1,1
67947674,0,9.404261130833332,0,0_q1,1
69696766,0,20.464237575,0,0_q1,1
72668739,0,36.95854660388889,0,0_q1,1
12052347,0,44.99027446777778,1,0_q2,1
28212683,0,47.99702154222223,1,0_q2,1
39324200,0,49.55173860361111,1,0_q2,1
72762907,0,43.81576296527778,1,0_q2,1
78390748,0,38.52526441,1,0_q2,1
79439605,0,38.435357868055554,1,0_q2,1
80823027,0,38.63661722916667,1,0_q2,1
19552816,0,61.26587258194445,2,0_q3,1
38112926,0,65.02322653194445,2,0_q3,1
51019821,0,61.37140299361111,2,0_q3,1
74520040,0,63.38346976361111,2,0_q3,1
82428611,0,64.58061198194444,2,0_q3,1
85577091,0,63.938705589444446,2,0_q3,1
91497993,0,61.30669916194445,2,0_q3,1
94488511,0,64.78250935527777,2,0_q3,1
24514437,0,66.40391278694445,3,0_q4,1
37780023,0,66.20297956916667,3,0_q4,1
50111753,0,66.85989141694445,3,0_q4,1
60328541,0,65.71784846777778,3,0_q4,1
81541989,0,65.69899316805555,3,0_q4,1
86479991,0,66.66294359166666,3,0_q4,1
91772155,0,66.49997358027778,3,0_q4,1
95839532,0,66.09454981166667,3,0_q4,1
21692904,1,0.5841728619444445,0,1_q1,1
39687487,1,0.7434419508333334,0,1_q1,1
56190238,1,0.547744816111111,0,1_q1,1
25909534,1,1.9929637366666664,1,1_q2,1
62887976,1,3.3202997266666667,1,1_q2,1
71424445,1,1.4691954252777777,1,1_q2,1
77028404,1,2.980008299722222,1,1_q2,1
26151072,1,4.443049115555556,2,1_q3,1
55031524,1,5.465545102222222,2,1_q3,1
92588540,1,3.7071967341666654,2,1_q3,1
11757157,1,22.04810800805556,3,1_q4,1
15743535,1,54.63810941305555,3,1_q4,1
69788114,1,20.87294373805555,3,1_q4,1
10892457,0,18.89251184861111,0,0_q1,2
17735080,0,18.280465280277777,0,0_q1,2
26429413,0,12.8211783225,0,0_q1,2
36527758,0,15.949612870833333,0,0_q1,2
50232090,0,19.21307650916667,0,0_q1,2
50442487,0,14.670000989444445,0,0_q1,2
66457746,0,34.533802602222224,0,0_q1,2
66587029,0,26.386562465277777,0,0_q1,2
12044083,0,60.95302147055556,1,0_q2,2
27991695,0,60.31399017722222,1,0_q2,2
36999334,0,61.07193740388889,1,0_q2,2
55093960,0,47.00133107722222,1,0_q2,2
59050390,0,39.269751461666665,1,0_q2,2
60008113,0,60.07479442555555,1,0_q2,2
90654456,0,56.88385168277778,1,0_q2,2
18032557,0,64.56748538083333,2,0_q3,2
28132196,0,61.48176814055555,2,0_q3,2
34908295,0,63.9607963675,2,0_q3,2
35949465,0,64.61591895666668,2,0_q3,2
68898469,0,63.5643817825,2,0_q3,2
76322687,0,64.78061227916666,2,0_q3,2
76903640,0,62.70764025777778,2,0_q3,2
79655801,0,62.77376126916667,2,0_q3,2
13745272,0,66.7679270386111,3,0_q4,2
32093256,0,66.13177204166666,3,0_q4,2
38412292,0,66.57004031388888,3,0_q4,2
51568885,0,66.99447413277778,3,0_q4,2
54163612,0,66.72742123444444,3,0_q4,2
61455506,0,66.6407907588889,3,0_q4,2
64647602,0,65.25434636777777,3,0_q4,2
19771815,1,0.5237634105555555,0,1_q1,2
46826716,1,0.1303196202777778,0,1_q1,2
62295471,1,0.1329790244444444,0,1_q1,2
69453871,1,0.5149067594444444,0,1_q1,2
20698681,1,2.5644396191666665,1,1_q2,2
67308425,1,3.3625956216666664,1,1_q2,2
